Brand,Model Name,Series,ScreenSize,processorFrequency,Rear Camera MP,frontCameraMP,operatingSystem,ramIn,batteryCapacity,InternalStorage,url,Color
SAMSUNG,J7 Nxt,J Series,5.5,1.6GHz Octa-core,13,5,7,2,3000,16,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/NXT.jpg,"Black,Gold"
SAMSUNG,J7 Max,J Series,5.7,Octa-core,13,13,7,4,3300,32,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/J7+Max.jpg,"Black,Gold"
SAMSUNG,J5 Prime 3/32 Gb,J Series,5,1.4GHz Quad-core,13,5,6.0.1,3,2400,32,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/J5+Prime+3+32+Gb.jpg,"ack,Gold"
SAMSUNG,J7 16,J Series,5.5,1.6GHz Octa-core,13,5,6.0.1,2,3300,16,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/J7+16.jpg,"White,Black,Gold,Rose Gold"
SAMSUNG,J7 Prime (32Gb),J Series,5.5,1.6GHz Octa-core,13,8,6.0.1,3,3300,32,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/J7+Prime+(32Gb).jpg,"Black,Gold,Rose Gold"
SAMSUNG,J2 Pro,J Series,5,1.5GHz Quad-core,8,5,6.0.1,2,2600,16,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/J2+Pro.jpg,"Silver,Black,Gold"
SAMSUNG,J7- 2015,J Series,5.5,1.5GHz Octa-core,13,5,5.1,1.5,3000,16,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/J7-+2015.jpg,"White,Black,Gold"
SAMSUNG,J2 Ace,J Series,5,1.9GHz Octa-core,8,5,6.0.1,1.5,2600,16,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/J2+Ace.jpg,"Black Sky Gold Sand,Blue Mist And Peach Cloud"
SAMSUNG,J1-4G,J Series,4.5,1.3GHz Quad-core,5,2,5.1.1,1,2050,8,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/J1-4G.jpg,N/A
SAMSUNG,J7 Prime 16Gb,J Series,5.5,1.6GHz Octa-core,13,8,6.0.1,3,3300,16,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/J7+Prime+16Gb.jpg,"Black,Gold,Rose Gold"
SAMSUNG,Galaxy J2,J Series,4.7,1.3GHz Quad-core,5,2,5.1.1,1,2000,8,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/Galaxy+J2.jpg,"White,Black,Gold"
SAMSUNG,J2 16,J Series,5,1.5GHz Quad-core,8,5,6.0.1,1.5,2600,8,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/J2+16.jpg,"Silver,Black,Gold"
SAMSUNG,Galaxy Note 8,Note,6.3,2.3GHz Octa-core,12,8,7.1.1,6,3300,64,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/Galaxy+Note+8.jpg,"Midnight Black,Maple Gold,Orchid Grey,Deep Sea Blue,Star pink"
SAMSUNG,E1200,Others,2.9,N/A,N/A,N/A,N/A,N/A,800,N/A,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/E1200.jpg,Black
SAMSUNG,S9 Plus 64 Gb,S Series,6.2,2.8GHz Octa-core,12,8,8,6,3500,64,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/S9+Plus+64+Gb.jpg,"Midnight Black,Coral Blue,Titanium Grey,Lilac Purple"
SAMSUNG,S9 256 Gb,S Series,5.8,1.7GHz Octa-core,12,8,8,4,3000,256,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/S9+256+Gb.jpg,N/A
SAMSUNG,S9 64 Gb,S Series,5.8,1.7GHz Octa-core,12,8,8,4,3000,64,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/S9+64+Gb.jpg,N/A
SAMSUNG,S7 Edge Pearl Black(128Gb),S Series,5.5,2.3GHz Octa-core,12,5,7.1,4,3600,128,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/S7+Edge+Pearl+Black(128Gb).jpg,Black Pearl
SAMSUNG,S8+ (128Gb),S Series,6.2,2.3GHz Octa-core,8,8,7,6,3500,64,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/S8%2B+(128Gb).jpg,"Midnight Black,Coral Blue,Orchid gray,arctic silver,maple Gold"
SAMSUNG,S8,S Series,5.8,2.3GHz Octa-core,12,8,7,4,3000,64,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/S8.jpg,"Midnight Black,Orchid grey,Arctic silver,Coral Blue,Maple Gold"
SAMSUNG,S8+,S Series,6.2,2.3GHz Octa-core,12,8,7,4,3500,64,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/S8%2B.jpg,"Midnight Black,Orchid grey,Arctic silver,Coral Blue,Maple Gold"
SAMSUNG,S7 Edge 32Gb,S Series,5.5,2.3GHz Octa-core,12,5,6,4,3600,32,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/S7+Edge+32Gb.jpg,"Black ,white,Gold,silver,pink gold,Black Pearl,Coral Blue"
SAMSUNG,S7 32Gb,S Series,5.1,2.3GHz Octa-core,12,5,6,4,3000,32,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/S7+32Gb.jpg,"Black Sky Gold Sand,Blue Mist And Peach Cloud"
SAMSUNG,S9 Plus 256 Gb,S Series,6.2,2.8GHz Octa-core,12,8,8,6,3500,256,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/S9+Plus+256+Gb.jpg,"Midnight Black,Coral Blue,Titanium Grey,Lilac Purple"
SAMSUNG,Tab A,Tab,7,1.3GHz Quad-core,5,2,5.1.1,1.5,4000,8,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/Tab+A.jpg,"Pearl White,Metalic Black"
SAMSUNG,Tab A(2017),Tab,8,1.4GHz Quad-core,8,5,7.1,2,5000,16,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/Tab+A(2017).jpg,N/A
SAMSUNG,Tab S3,Tab,9.7,2.2GHz Quad-core,13,5,N/A,4,6000,32,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/Tab+S3.jpg,"White,Black"
SAMSUNG,Tab S2,Tab,9.7,1.3GHz Octa-core,8,2.1,5,3,5870,32,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/Tab+S2.jpg,"Black,white"
SAMSUNG,Tab E,Tab,9.6,1.3GHz Quad-core,5,2,N/A,1.5,5000,8,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/Tab+E.jpg,"Pearl White,Metalic Black"
SAMSUNG,Tab A,Tab,8,1.2GHz Quad-core,5,N/A,5,2,4200,16,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/Tab+A.jpg,N/A
SAMSUNG,Tab 7Inch,Tab,7,1.2GHz Quad-core,3,1.3,4.1.2,1,3600,8,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/Tab+7Inch.jpg,White
SAMSUNG,Jmax,Others,7,1.5GHz Quad-core,8,2,5.1,1.5,4000,8,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/Jmax.jpg,N/A
ACER,Acer Z630,Z Series,5.5,1.3GHz Quad-core,8,8,5.1,2,N/A,16,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/Acer+Z630.jpg,N/A
ACER,Acer Z530,Z Series,5,1.3GHz Quad-core,8,8,5.1,2,2420,16,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/Acer+Z530.jpg,N/A
ASUS,Zenfone 3 Max 5.2,Zenfone,5.2,1.25GHz Quad-core,13,5,6.0.1,3,4100,32,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/Zenfone+3+Max+5.2.jpg,"Titanium Grey, Glacier Silver, Sand Gold"
ASUS,Zenfone 4 Selfie,Zenfone,5.5,1.4GHz Octa-core,16,20,7.1.1,4,3000,64,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/Zenfone+4+Selfie.jpg,"Sunlight Gold, Rouge Red, Deepsea Black"
ASUS,Zenfone 3 5.2,Zenfone,5.2,2GHz Octa-core,16,8,6,3,2650,32,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/Zenfone+3+5.2.jpg,"Sapphire Black, Moonlight White, Shimmer Gold"
ASUS,Zenfone Max 5.5,Zenfone,5.5,1.2GHz Quad-core,13,5,5,2,5000,16,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/4/Zenfone+max+5.5(ZC550KL).jpg,"Black,White"
ASUS,Zf Live,Zenfone,5,Quad-core,13,5,6,2,2650,16,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/Zf+Live.jpg,"Shimmer Gold, Rose Pink, Navy Black"
ASUS,Zenfone 2 Max,Zenfone,5.5,1.2GHz Quad-core,13,5,5,2,5000,16,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/Zenfone+2+Max.jpg,"Black,White"
ASUS,Zenfone Go 5.5 Lte,Zenfone,5.5,1.4GHz Quad-core,13,5,5.1,2,3010,32,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/Zenfone+Go+5.5+Lte.jpg,Lake Blue
ASUS,Zenfone 3 Max 5.5,Zenfone,5.5,1.4GHz Octa-core,16,8,6.0.1,3,4100,32,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/Zenfone+3+Max+5.5.jpg,"Titanium Gray, Glacier Silver, Sand Gold"
ASUS,Zenfone Selfie 3Gb/16Gb,Zenfone,5.5,1.7GHz Octa-core,13,13,5,3,3000,32,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/Zenfone+Selfie+3Gb+16Gb.jpg,"White, Pink, Aqua Blue"
ASUS,Zenfone 3S Max,Zenfone,5.2,1GHz Octa-core,13,8,7,3,5000,32,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/Zenfone+3S+Max.jpg,"Black, Sand Gold"
ASUS,Zenfone Go 5.0 Lte,Zenfone,5,1.2GHz Quad-core,8,5,4.4,2,2500,16,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/Zenfone+Go+5.0+Lte.jpg,"Charcoal Black, Pearl White"
ASUS,Zenfone Go 4.5,Zenfone,4.5,1.3GHz Quad-core,5,0.3,5.1,1,1600,8,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/Zenfone+Go+4.5.jpg,Black
BLAUPUNKT,In1505,Feature Phones,1.7,N/A,N/A,N/A,N/A,N/A,2000,N/A,,N/A
BLAUPUNKT,In1503,Feature Phones,1.7,N/A,N/A,N/A,N/A,N/A,1000,N/A,,N/A
BLAUPUNKT,In1501,Feature Phones,1.7,N/A,N/A,N/A,N/A,N/A,1000,N/A,,N/A
CELKON,Ufeel 4G (2+16),4G Smart Phones,5,1.3GHz Quad-core,5,3.2,6,2,2500,16,,"Gold, Champagne"
CELKON,4G Tab 8 Inch,4G Smart Phones,5,1.3GHz Quad-core,5,3.2,6,2,2500,16,,"Gold, Champagne"
CELKON,Ufeel 4G (Hd)(Offer 400/-),4G Smart Phones,5,1.3GHz Quad-core,5,3.2,6,1,2500,8,,"Gold, Champagne"
CELKON,New Jodi (Edge+C325),C Series,2.4,N/A,N/A,N/A,N/A,N/A,1800,N/A,,N/A
CELKON,C350 Rotate,C Series,3.5,N/A,N/A,N/A,N/A,N/A,1200,N/A,,N/A
CELKON,C9 Jumbo(Rs.104/- ),C Series,2.4,N/A,N/A,N/A,N/A,N/A,1800,N/A,,N/A
CELKON,C2233(Silver Coin),C Series,2.4,N/A,N/A,N/A,N/A,N/A,1800,N/A,,N/A
CELKON,C249(Tiffin Box),C Series,2.4,N/A,N/A,N/A,N/A,N/A,1700,N/A,,N/A
CELKON,C240 - 8Gb,C Series,2.4,N/A,N/A,N/A,N/A,N/A,1300,N/A,,N/A
CELKON,C26 - 8Gb,C Series,2.4,N/A,N/A,N/A,N/A,N/A,800,N/A,,N/A
CELKON,C29,C Series,2.4,N/A,N/A,N/A,N/A,N/A,800,N/A,,N/A
CELKON,C325 - 8Gb,C Series,1.8,N/A,N/A,N/A,N/A,N/A,800,N/A,,N/A
CELKON,C422,C Series,2.4,N/A,N/A,N/A,N/A,N/A,1000,N/A,,N/A
CELKON,C604,C Series,1.8,N/A,N/A,N/A,N/A,N/A,1700,N/A,,N/A
CELKON,C109,C Series,1.8,N/A,N/A,N/A,N/A,N/A,1700,N/A,,N/A
CELKON,C108,C Series,1.8,N/A,N/A,N/A,N/A,N/A,800,N/A,,N/A
CELKON,C349 Star,C Series,1.8,N/A,N/A,N/A,N/A,N/A,800,N/A,,N/A
CELKON,C345,C Series,1.8,N/A,N/A,N/A,N/A,N/A,800,N/A,,N/A
CELKON,C327(Combo 1+1),C Series,1.8,N/A,N/A,N/A,N/A,N/A,1000,N/A,,N/A
CELKON,C379,C Series,1.8,N/A,N/A,N/A,N/A,N/A,800,N/A,,N/A
CELKON,C107,C Series,1.8,N/A,N/A,N/A,N/A,N/A,800,N/A,,N/A
CELKON,Smart 4G(Airtel Offer),Others,4,1.3GHz Quad-core,3.2,2,6,1,1500,8,,"Blue, Gold"
CELKON,Mega (2+16),Others,5.5,1.3GHz Quad-core,8,3.2,6,2,2700,16,,Champagne
CELKON,Ct 744,Others,7,1.3GHz Quad-core,5,1.3,5.1,1,2800,8,,Black
CELKON,Cliq,Others,5,1.3GHz Quad-core,16,8,6,2,2500,16,,N/A
CELKON,Mega,Others,5.5,1.3GHz Quad-core,8,3.2,6,1,2700,8,,Champagne
CELKON,U (2+16),Others,5,1.3GHz Quad-core,8,3.2,6,2,2500,16,,"Gold, Champagne"
CELKON,Ace,Others,5,1.3GHz Quad-core,5,3.2,5.1,1,1800,8,,Blue
CELKON,Pop,Others,4.5,1GHz Quad-core,5,3.2,5.1,1,1600,8,,Gold
CELKON,Pride,Others,4,1.2GHz Quad-core,3.2,1.3,5.1,512MB,1450,4,,Black
CELKON,Trendz,Others,4,N/A,N/A,N/A,N/A,N/A,1200,N/A,,N/A
CELKON,Hulk 8Gb,Others,2.4,N/A,N/A,N/A,N/A,N/A,3000,N/A,,N/A
CELKON,Transformer Plus,Others,2.4,N/A,N/A,N/A,N/A,N/A,3000,N/A,,N/A
CELKON,Power+,Others,2.4,N/A,N/A,N/A,N/A,N/A,3000,N/A,,N/A
CELKON,Edge - 8Gb,Others,2.4,N/A,N/A,N/A,N/A,N/A,1300,N/A,,N/A
CELKON,Beats Plus,Others,2.4,N/A,N/A,N/A,N/A,N/A,1500,N/A,,N/A
CELKON,Highway,Others,2.8,N/A,N/A,N/A,N/A,N/A,1750,N/A,,N/A
CELKON,Selfie Star,Others,2.4,N/A,N/A,N/A,N/A,N/A,1750,N/A,,N/A
CELKON,Xtreme(Offer 50/-),Others,2.4,N/A,N/A,N/A,N/A,N/A,1750,N/A,,N/A
CELKON,Spark,Others,1.8,N/A,N/A,N/A,N/A,N/A,1800,N/A,,N/A
CELKON,Q599,Q Series,5,1.2GHz Quad-core,5,5,5.1,1,2000,8,,"Black, Gold"
CELKON,Q567,Q Series,5,1.2GHz Quad-core,5,3.5,5.1,512MB,2000,4,,"Black, Blue"
CENTRIC,Centric P1+,Smart Phones,5,1.3GHz Quad-core,8,5,6,3,3950,16,,"Black, Rose Gold, Champagne"
CENTRIC,Centric A1,Smart Phones,5.5,Octa Core,13,8,7.1.1,3,3000,32,,"Metallic Earl Grey, White & Peach Gold, Gold & Peach Gold"
CENTRIC,Centric P1,Smart Phones,5,1.3GHz Quad-core,8,2,6,2,3950,16,,Grey
CENTRIC,Centric L3,Smart Phones,5,1.3GHz Quad-core,13,5,7,2,3050,16,,"Raisin Black, Quartz Gray"
CENTRIC,Centric L1,Smart Phones,5,1GHz Quad-core,8,2,6,2,2050,16,,"Black, White"
CENTRIC,Centric G1,Smart Phones,5.5,1.3GHz Quad-core,8,5,6,3,2900,16,,N/A
COMIO,C2 Lite,Smart Phones,5,1.3GHz Quad-core,8,5,Android 7.0,1.5,3900,16,,"Royal Black, Metallic Grey, Sunrise Gold"
COMIO,S1 Lite,Smart Phones,5,1.3GHz Quad-core,13,8,Android 7.0,2,3050,32,,"Royal Black, Ocean Blue, Sunrise Gold"
COMIO,C2,Smart Phones,5,1.3GHz Quad-core,8,8,Android 7.0,2,4000,16,,"Royal Black, Royal Blue"
COMIO,P1,Smart Phones,5.2,1.3GHz Quad-core,13,8,Android 7.0,3,5000,32,,"Metal Grey, Sunrise Gold"
COMIO,S1,Smart Phones,5.2,Quad-core,13,8,Android 7.0,2,2700,32,,"Royal Black, Sunrise Gold"
COMIO,C1,Smart Phones,5,1.3GHz Quad-core,8,5,Android 7.0,1,2700,32,,"Royal Black, Sunrise Gold"
COOLPAD,Coolpad Mega 2.5D,Mega,5.5,1GHz Quad-core,8,8,6,3,2500,16,,Gold
COOLPAD,Coolpad Mega 3,Mega,5.5,1.25GHz Quad-core,8,8,6,2,3050,16,,"Gold, Grey, and White"
COOLPAD,Coolpad Note 5 Lite,Note,5,1GHz Quad-core,13,8,6,3,2500,16,,"Grey, Gold"
COOLPAD,Coolpad Note 5,Note,5.5,1.5GHz Quad-core,13,8,6,4,4010,32,,"Royal Gold, Space Grey"
COOLPAD,Coolpad Note 3S,Note,5.5,1.3GHz Quad-core,13,5,6,3,2500,32,,"Gold, White"
COOLPAD,Coolpad Cool 1,Others,5.5,1.4GHz Quad-core,13,8,6,3,4000,32,,"Gold, Silver"
COOLPAD,Coolpad Max A-8,Others,5.5,1.5GHz Quad-core,13,5,5.1,4,2800,64,,"Royal Gold, Rose Gold"
EDGE MOBILE,D1500,Detel Feature Phones,2.4,N/A,N/A,N/A,N/A,N/A,1400,N/A,,N/A
EDGE MOBILE,D4800,Detel Feature Phones,2.4,N/A,N/A,N/A,N/A,N/A,1400,N/A,,N/A
EDGE MOBILE,D3800,Detel Feature Phones,2.4,N/A,N/A,N/A,N/A,N/A,1400,N/A,,N/A
EDGE MOBILE,D2800,Detel Feature Phones,2.4,N/A,N/A,N/A,N/A,N/A,1400,N/A,,N/A
EDGE MOBILE,D1800,Detel Feature Phones,2.4,N/A,N/A,N/A,N/A,N/A,1400,N/A,,N/A
EDGE MOBILE,D313,Detel Feature Phones,1.8,N/A,N/A,N/A,N/A,N/A,1050,N/A,,N/A
EDGE MOBILE,D312,Detel Feature Phones,1.8,N/A,N/A,N/A,N/A,N/A,1050,N/A,,N/A
EDGE MOBILE,D310,Detel Feature Phones,1.8,N/A,N/A,N/A,N/A,N/A,1050,N/A,,N/A
EDGE MOBILE,D110,Detel Feature Phones,1.8,N/A,N/A,N/A,N/A,N/A,1050,N/A,,N/A
EDGE MOBILE,E40,E Series,2.8,N/A,N/A,N/A,N/A,N/A,1400,N/A,,N/A
EDGE MOBILE,E90,E Series,1.8,N/A,N/A,N/A,N/A,N/A,1050,N/A,,N/A
EDGE MOBILE,E10,E Series,2.8,N/A,N/A,N/A,N/A,N/A,1800,N/A,,N/A
EDGE MOBILE,E33,E Series,2.4,N/A,N/A,N/A,N/A,N/A,3000,N/A,,N/A
EDGE MOBILE,E99,E Series,2.4,N/A,N/A,N/A,N/A,N/A,2200,N/A,,N/A
EDGE MOBILE,E7,E Series,1.8,N/A,N/A,N/A,N/A,N/A,2200,N/A,,N/A
EDGE MOBILE,E66,E Series,2.4,N/A,N/A,N/A,N/A,N/A,1500,N/A,,N/A
EDGE MOBILE,E1,E Series,1.8,N/A,N/A,N/A,N/A,N/A,1050,N/A,,N/A
EXMART,L2,L Series,4,1.2GHz Quad-core,5,2,N/A,512MB,1300,8,,N/A
EXMART,R1,R Series,5,1.2GHz Quad-core,8,5,5.1,1,2000,8,,N/A
EXMART,X9,X Series,2.4,N/A,1.3,N/A,N/A,N/A,1800,N/A,,N/A
EXMART,X1,X Series,1.8,N/A,1.3,N/A,N/A,N/A,1000,N/A,,N/A
EXMART,X11,X Series,2.4,N/A,N/A,N/A,N/A,N/A,1000,N/A,,N/A
EXMART,X5,X Series,1.8,N/A,1.3,N/A,N/A,N/A,1700,N/A,,N/A
EXMART,X2,X Series,1.8,N/A,1.3,N/A,N/A,N/A,1000,N/A,,N/A
GIONEE,A1,A Series,5.5,2GHz Octa-core,13,16,7,4,4010,64,,"Grey, Black, Gold"
GIONEE,A1 Lite,A Series,5.3,1.3GHz Octa-core,13,20,Android,3,4000,32,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/A1+Lite.jpg,"Gold,Black"
GIONEE,A1 Plus,A Series,6,1.6GHz Octa-core,13,20,Android 7.0,4,4550,64,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/A1+PLUS.jpg,"Grey, Mocha Gold"
GIONEE,F103 Pro,F Series,5,1.3GHz Quad-core,13,5,Android 6.0,3,4550,16,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/F103+Pro.jpg,"Gold, Grey, White"
GIONEE,M7 Power,M Series,6,1.4GHz Octa-core,13,8,Android 7.1.1,4,5000,64,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/M7+Power.jpg,"Blue, Black, Gold"
GIONEE,Marathon M5 Lite,M Series,5,1.3GHz Quad-core,8,5,Android 5..1,3,4000,32,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/Marathon+M5+Lite.jpg,Gold
GIONEE,P7 Max,P Series,5.5,2.2GHz Octa-core,13,5,Android 6.0,3,3100,32,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/P7+Max.jpg,"Gold, Grey-Blue"
GIONEE,Gionee P7,P Series,5,1.3GHz Quad-core,8,5,Android 6.0,2,2300,16,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/Gionee+P7.jpg,"White, Latte Gold, Grey"
GIONEE,P5 W,P Series,5,1.3GHz Octa-core,5,2,Android 5.1,1,2000,16,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/3/P5+W.jpg,"White, Blue, Red, Yellow, Black"
GIONEE,P5 Mini,P Series,4.5,1.3GHz Quad-core,5,2,Android 5.1,1,1850,8,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/3/P5+Mini.jpg,"Black, Blue, White"
GIONEE,P5L,P Series,4.7,1.3GHz Quad-core,8,5,Android 5.1,1,2300,16,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/3/P5L.jpg,"Red, White, Black, Blue, Yellow, Gold"
GIONEE,S10 Lite,S Series,5.2,1.4GHz Quad-core,13,16,Android 7.1,4,3100,32,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/3/S10+Lite.jpg,"Gold, Black"
GIONEE,S6S,S Series,5.5,1.3GHz Octa-core,13,8,Android 6.0,3,3150,32,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/3/S6S.jpg,"Latte Gold, Mocha Gold"
GIONEE,S6 Pro,S Series,5.5,1.8GHz Octa-core,13,8,Android 6.0,4,3130,64,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/3/S6+Pro.jpg,"Gold, Silver, Rose Gold"
GIONEE,X1 S,X Series,5.2,1.5GHz Quad-core,13,16,Android 7.0,3,4000,16,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/4/X1+S.jpg,"Black, Gold"
GIONEE,X1 Black,X Series,5,1.3GHz Quad-core,8,8,Android 7.0,2,3000,16,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/4/X1+Black.jpg,"Black, Gold"
